# time_unit: years
# unit: mm
# scale: 1
# column_names: ymd hms east north up east_sigma north_sigma up_sigma
# columns_index: 0 1 3 4 5 6 7 8
# index_cols: ymd hms
# index_formats: %Y%m%d %H%M%S
20100921 120000	 2010.7214	    7.1650	   -0.6770	  -15.3610	    0.8920	    0.9210	    3.7060
20100922 120000	 2010.7242	    7.1720	    1.5530	  -19.3430	    0.9280	    0.9250	    3.7940
20100923 120000	 2010.7269	    8.8100	   -0.6860	  -22.5870	    0.9270	    0.9020	    3.7240
20100924 120000	 2010.7296	    9.0360	   -1.9360	  -16.3200	    0.9120	    0.8760	    3.5380
20100925 120000	 2010.7324	    8.5200	   -1.5730	  -25.1640	    0.9110	    0.8670	    3.5260
20100926 120000	 2010.7351	   10.9350	   -1.7790	  -14.3760	    0.8840	    0.8750	    3.4850
20100927 120000	 2010.7379	    9.4920	   -3.7240	  -17.8610	    0.8870	    0.8820	    3.4470
20100928 120000	 2010.7406	    8.4900	   -1.5490	  -20.8880	    0.8950	    0.8790	    3.5120
20100929 120000	 2010.7433	    6.1940	   -0.9230	  -15.5730	    0.8940	    0.8700	    3.4640
20100930 120000	 2010.7461	    8.4840	   -0.2780	   -3.0680	    0.9450	    0.9160	    3.6160
20101001 120000	 2010.7488	    1.4870	   -4.4980	  -21.4030	    0.9780	    0.9260	    3.6770
20101002 120000	 2010.7515	    8.7740	   -1.5460	  -28.5770	    0.8900	    0.8650	    3.5000
20101003 120000	 2010.7543	    6.9160	   -0.1660	  -26.2870	    0.9560	    0.9210	    3.6770
20101004 120000	 2010.7570	    8.5980	   -0.4750	  -23.9850	    0.9500	    0.8960	    3.6390
20101005 120000	 2010.7598	    9.9370	   -0.6930	  -18.2080	    0.8930	    0.8830	    3.5160
20101006 120000	 2010.7625	    9.7510	   -1.1380	   -9.8120	    0.8870	    0.8640	    3.4470
20101007 120000	 2010.7652	    8.8350	   -2.1400	  -14.5810	    0.8850	    0.8670	    3.4800
20101008 120000	 2010.7680	    9.5860	   -0.4310	  -14.5150	    0.8840	    0.8650	    3.4650
20101009 120000	 2010.7707	    9.4720	   -2.8140	  -20.6600	    0.9160	    0.8710	    3.5550
20101010 120000	 2010.7734	    7.7220	   -0.2860	  -19.6320	    0.8990	    0.8710	    3.4970
20101011 120000	 2010.7762	    7.9400	    0.9220	  -22.0550	    0.9360	    0.8960	    3.6610
20101012 120000	 2010.7789	   11.4400	   -1.3240	  -19.5460	    0.8970	    0.8640	    3.5020
20101013 120000	 2010.7817	   10.5300	   -0.3730	  -23.6490	    0.8860	    0.8620	    3.4820
20101014 120000	 2010.7844	   14.4890	    0.5660	  -27.0640	    0.9160	    0.8990	    3.6150
20101015 120000	 2010.7871	   12.7110	    0.7270	  -19.0470	    0.9130	    0.9010	    3.6160
20101016 120000	 2010.7899	   10.4140	   -0.9360	  -20.2290	    0.9560	    0.9060	    3.5790
20101017 120000	 2010.7926	   10.1990	   -0.0900	  -23.1760	    0.9010	    0.8590	    3.4610
20101018 120000	 2010.7953	    9.7320	   -0.7250	  -19.2490	    0.8980	    0.8740	    3.5110
20101019 120000	 2010.7981	   11.0500	   -0.0710	  -22.3900	    0.8940	    0.8630	    3.4440
20101020 120000	 2010.8008	   11.6900	    0.4810	  -21.4810	    0.9050	    0.8800	    3.4720
20101021 120000	 2010.8036	    7.9500	   -0.0910	  -19.9780	    0.9260	    0.8890	    3.4850
20101022 120000	 2010.8063	   10.2400	    0.0660	  -14.8500	    0.9010	    0.8680	    3.4480
20101023 120000	 2010.8090	    9.8130	   -0.3130	  -18.3900	    0.9020	    0.8610	    3.4360
20101024 120000	 2010.8118	   10.1030	    1.5230	  -16.1740	    0.9020	    0.8640	    3.4470
20101025 120000	 2010.8145	    8.2630	    1.8370	  -20.0880	    0.8980	    0.8750	    3.4930
20101026 120000	 2010.8172	   13.3700	   -2.4380	  -21.7750	    0.9370	    0.8800	    3.5950
20101027 120000	 2010.8200	   11.4070	    1.3740	  -20.4720	    0.9030	    0.8670	    3.4400
20101028 120000	 2010.8227	    9.9010	   -0.3060	  -26.5860	    0.9010	    0.8680	    3.4640
20101029 120000	 2010.8255	   11.8650	    0.0600	  -18.0090	    0.9010	    0.8580	    3.4130
20101030 120000	 2010.8282	   11.7960	   -0.3170	  -24.2850	    0.9020	    0.8610	    3.4180
20101031 120000	 2010.8309	   10.9400	   -2.1240	  -20.3580	    0.9310	    0.8870	    3.6050
20101101 120000	 2010.8337	   11.2450	   -1.2260	  -16.0840	    0.9170	    0.8900	    3.5920
20101102 120000	 2010.8364	   13.1100	   -0.4550	  -22.6590	    0.9250	    0.8670	    3.4730
20101103 120000	 2010.8392	   13.5890	   -0.2680	  -20.6870	    0.9080	    0.8620	    3.4220
20101104 120000	 2010.8419	   11.8430	    0.3170	  -24.7960	    0.9030	    0.8570	    3.4190
20101105 120000	 2010.8446	   12.0090	   -1.8730	  -27.9920	    0.9100	    0.8660	    3.4500
20101106 120000	 2010.8474	   13.0420	   -1.3600	  -18.1540	    0.9040	    0.8600	    3.4250
20101107 120000	 2010.8501	   13.7290	   -1.4640	  -16.0210	    0.9130	    0.8670	    3.4770
20101108 120000	 2010.8528	   12.8510	   -1.0730	  -18.8480	    0.8990	    0.8660	    3.4450
20101109 120000	 2010.8556	   12.7420	    0.4710	  -28.1540	    0.9110	    0.8620	    3.4310
20101110 120000	 2010.8583	   12.0130	    0.8890	  -15.1760	    0.9010	    0.8580	    3.4130
20101111 120000	 2010.8611	   13.2680	    1.8230	  -19.1700	    0.8990	    0.8560	    3.4620
20101112 120000	 2010.8638	   12.9810	   -0.9520	  -19.2160	    0.8960	    0.8550	    3.4430
20101113 120000	 2010.8665	   12.8900	   -1.1310	  -21.3520	    0.8910	    0.8580	    3.4120
20101114 120000	 2010.8693	   13.8270	    0.4890	  -17.7220	    0.8980	    0.8590	    3.4480
20101115 120000	 2010.8720	   16.0690	   -2.8540	  -19.3440	    0.8950	    0.8520	    3.4020
20101116 120000	 2010.8747	   13.6510	    0.1250	  -21.7230	    0.9330	    0.8760	    3.5380
20101117 120000	 2010.8775	   14.4570	    0.6560	  -21.2670	    0.9300	    0.8740	    3.4970
20101118 120000	 2010.8802	   14.7410	    0.1440	  -19.4240	    0.9330	    0.8610	    3.5060
20101119 120000	 2010.8830	   12.7760	   -0.0190	  -20.1260	    0.9220	    0.8600	    3.4890
20101120 120000	 2010.8857	   15.4010	   -1.6600	  -16.3190	    0.9010	    0.8580	    3.4490
20101121 120000	 2010.8884	   13.3260	    0.5630	  -15.7460	    0.9400	    0.9140	    3.5960
20101122 120000	 2010.8912	   14.7620	   -0.0680	  -16.9960	    0.9650	    0.9140	    3.6460
20101123 120000	 2010.8939	   11.8690	    1.5630	  -21.8490	    0.9310	    0.8650	    3.5230
20101124 120000	 2010.8966	   14.0960	    0.6960	  -15.8730	    0.9180	    0.8610	    3.4770
20101125 120000	 2010.8994	   12.4350	   -1.7080	  -19.5910	    0.8970	    0.8630	    3.4230
20101126 120000	 2010.9021	   12.6910	   -0.1700	  -13.7190	    0.8970	    0.8560	    3.4090
20101127 120000	 2010.9049	   13.4870	    0.0220	  -18.9700	    0.8970	    0.8530	    3.4020
20101128 120000	 2010.9076	   11.6880	    0.5750	  -23.1510	    0.9060	    0.8550	    3.4200
20101129 120000	 2010.9103	   14.1940	   -0.4840	  -20.4410	    0.8980	    0.8520	    3.4170
20101130 120000	 2010.9131	   14.4770	    2.1420	  -17.0950	    0.9000	    0.8580	    3.4340
20101201 120000	 2010.9158	   13.2060	   -0.6670	  -13.8720	    0.9080	    0.8590	    3.4630
20101202 120000	 2010.9185	   13.5140	    0.3060	  -23.7510	    0.9170	    0.8560	    3.4650
20101203 120000	 2010.9213	   14.1680	   -1.3400	  -11.9190	    0.8930	    0.8520	    3.3930
20101204 120000	 2010.9240	   14.8670	    0.9090	   -8.8230	    0.8960	    0.8540	    3.4090
20101205 120000	 2010.9268	   15.2320	    0.4440	  -14.0790	    0.8990	    0.8580	    3.4390
20101206 120000	 2010.9295	   14.7940	    0.3260	  -14.2310	    0.9000	    0.8570	    3.4470
20101207 120000	 2010.9322	   14.2750	    0.1210	  -11.6890	    0.8990	    0.8560	    3.4420
20101208 120000	 2010.9350	   14.7420	   -0.9770	   -7.1450	    0.8950	    0.8520	    3.3950
20101209 120000	 2010.9377	   14.8620	   -2.0510	  -10.6940	    0.8980	    0.8510	    3.3980
20101210 120000	 2010.9405	   15.7350	   -1.2190	  -12.3920	    0.9280	    0.8690	    3.4720
20101211 120000	 2010.9432	   18.2190	   -1.4670	   -5.7330	    0.9410	    0.8740	    3.5640
20101212 120000	 2010.9459	   15.4640	   -2.1900	   -9.1600	    0.9090	    0.8600	    3.4690
20101213 120000	 2010.9487	   14.2350	   -1.3700	  -13.9960	    0.9070	    0.8540	    3.4310
20101214 120000	 2010.9514	   16.3210	   -2.6960	  -12.2520	    0.9320	    0.8710	    3.4450
